.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Actividad;Tiempo;Cant.;$ 144,25;$ 208,37;$ 208,37;$ 248,44
Acompañante del paciente;60';20;$ 2.885,04;$ 4.167,35;$ 4.167,35;$ 4.968,72
Administración  de citostático;60';20;$ 2.885,04;$ 4.167,35;$ 4.167,35;$ 4.968,72
Administracion  de nutrición parenteral;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Administración de nutrición enteral;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Administración de vacunas;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Alimentación por biberón;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Alimentación por gastrostomía ;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Alimentación por sonda nasogástrica;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Aplicación de calor;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Aplicación de frío;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Asistencia en exámen clínico ;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Aspiración de secreciones bucales;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Aspiración de secreciones nasales;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Aspiración secreciones traqueostomía;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Aspiración secreciones tubo endotraq.;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Ayuda en alimentación oral;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Ayuda en higiene parcial;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Ayuda en la marcha;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Baño de ducha o bañera;21;7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
