.;;;;;;
;;;;;;
;;;;;;
;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA 2024;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Actividad;Tiempo;Cant.;$ 281,29;$ 406,28;$ 406,28;$ 484,46
Acompañante del paciente;60';20;$ 5.625,80;$ 8.125,60;$ 8.125,60;$ 9.689,20
Administración  de citostático;60';20;$ 5.625,80;$ 8.125,60;$ 8.125,60;$ 9.689,20
Administracion  de nutrición parenteral;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Administración de nutrición enteral;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Administración de vacunas;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Alimentación por biberón;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Alimentación por gastrostomía ;45';15;$ 4.219,35;$ 6.094,20; $ 	6.094,20 ;$ 7.266,90
Alimentación por sonda nasogástrica;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Aplicación de calor;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Aplicación de frío;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Asistencia en exámen clínico ;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Aspiración de secreciones bucales;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Aspiración de secreciones nasales;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Aspiración secreciones traqueostomía;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Aspiración secreciones tubo endotraq.;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Ayuda en alimentación oral;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Ayuda en higiene parcial;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Ayuda en la marcha;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
