.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Actividad;Tiempo;Cant.;$ 48,35;$ 69,84;$ 69,84;$ 83,27
Acompañante del paciente;60';20;$ 967,00;$ 1.396,80;$ 1.396,80;$ 1.665,40
Administración  de citostático;60';20;$ 967,00;$ 1.396,80;$ 1.396,80;$ 1.665,40
Administracion  de nutrición parenteral;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Administración de nutrición enteral;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Administración de vacunas;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Alimentación por biberón;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Alimentación por gastrostomía ;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Alimentación por sonda nasogástrica;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Aplicación de calor;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Aplicación de frío;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Asistencia en exámen clínico ;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Aspiración de secreciones bucales;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Aspiración de secreciones nasales;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Aspiración secreciones traqueostomía;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Aspiración secreciones tubo endotraq.;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Ayuda en alimentación oral;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Ayuda en higiene parcial;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Ayuda en la marcha;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Baño de ducha o bañera;21;7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Baño Parcial en cama;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
