.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Actividad;Tiempo;Cant.;$ 94,28;$ 136,19;$ 136,19;$ 162,38
Acompañante del paciente;60';20;$ 1.885,65;$ 2.723,76;$ 2.723,76;$ 3.247,53
Administración  de citostático;60';20;$ 1.885,65;$ 2.723,76;$ 2.723,76;$ 3.247,53
Administracion  de nutrición parenteral;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Administración de nutrición enteral;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Administración de vacunas;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Alimentación por biberón;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Alimentación por gastrostomía ;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Alimentación por sonda nasogástrica;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Aplicación de calor;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Aplicación de frío;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Asistencia en exámen clínico ;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Aspiración de secreciones bucales;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Aspiración de secreciones nasales;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Aspiración secreciones traqueostomía;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Aspiración secreciones tubo endotraq.;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Ayuda en alimentación oral;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Ayuda en higiene parcial;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Ayuda en la marcha;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Baño de ducha o bañera;21;7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
