;;;;;;;;;;;;;;;
;VALOR HORA DE ENFERMERÍA;;;;;;;;;;;;;;
;Lugar de Prestación;Valor UPE;Cuidados;Adultos;;;;;;Pediátrico;;;;;
;;;;Mínimos;;Moderados;;Especiales;;Mínimos;;Moderados;;Especiales;
;;;;15;UPE;20;UPE;25;UPE;25;UPE;30;UPE;35;UPE
;Domicilio;$ 208,37 ;Diurno;$ 3.125,55 ;;$ 4.167,40 ;;$ 5.209,25 ;;$ 5.209,25 ;;$ 6.251,10 ;;$ 7.292,95 ;
;;$ 248,44 ;Nocturno;$ 3.726,60 ;;$ 4.968,80 ;;$ 6.211,00 ;;$ 6.211,00 ;;$ 7.453,20 ;;$ 8.695,40 ;
;Consultorio;$ 144,25 ;Diurno;$ 2.163,75;;$ 2.885,00;;$ 3.606,25;;$ 3.606,25;;$ 4.327,50;;$ 5.048,75;
;;$ 208,37 ;Nocturno;$ 3.125,55;;$ 4.167,40;;$ 5.209,25;;$ 5.209,25;;$ 6.251,10;;$ 7.292,95;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;`;;;;;
