;;;;;;;;;;;;;;;
;VALOR HORA DE ENFERMERÍA;;;;;;;;;;;;;;
;Lugar de Prestación;Valor UPE;Cuidados;Adultos;;;;;;Pediátrico;;;;;
;;;;Mínimos;;Moderados;;Especiales;;Mínimos;;Moderados;;Especiales;
;;;;15;UPE;20;UPE;25;UPE;25;UPE;30;UPE;35;UPE
;Domicilio;$ 136,19 ;Diurno;$ 2.042,85 ;;$ 2.723,80 ;;$ 3.404,75 ;;$ 3.404,75 ;;$ 4.085,70 ;;$ 4.766,65 ;
;;$ 162,38 ;Nocturno;$ 2.435,70 ;;$ 3.247,60 ;;$ 4.059,50 ;;$ 4.059,50 ;;$ 4.871,40 ;;$ 5.683,30 ;
;Consultorio;$ 94,28 ;Diurno;$ 1.414,20;;$ 1.885,60;;$ 2.357,00;;$ 2.357,00;;$ 2.828,40;;$ 3.299,80;
;;$ 136,19 ;Nocturno;$ 2.042,85;;$ 2.723,80;;$ 3.404,75;;$ 3.404,75;;$ 4.085,70;;$ 4.766,65;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;`;;;;;
